127.0.0.1 - - [23/Nov/2024:00:43:28 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:28 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:28 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:29 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:30 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:31 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:32 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:33 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:34 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:35 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:36 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:37 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:38 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:39 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:40 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:41 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:42 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:43 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:44 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:45 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:47 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:48 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:49 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:50 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:51 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:52 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:53 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:54 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:55 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:56 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:57 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:58 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:43:59 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:44:00 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:44:01 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:44:02 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:44:03 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:44:04 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:44:05 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Nov/2024:00:44:06 +0530] "GET /project1/DisplayTime HTTP/1.1" 200 57
